,carrier_code,flight_number,origin_airport,destination_airport,date,scheduled_elapsed_time,tail_number,departure_delay,arrival_delay,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircarft_arrival,cancelled_code,year,month,day,weekday,scheduled_departure_dt,scheduled_arrival_dt,actual_departure_dt,actual_arrival_dt,STATION_x,HourlyDryBulbTemperature_x,HourlyPrecipitation_x,HourlyStationPressure_x,HourlyVisibility_x,HourlyWindSpeed_x,STATION_y,HourlyDryBulbTemperature_y,HourlyPrecipitation_y,HourlyStationPressure_y,HourlyVisibility_y,HourlyWindSpeed_y
643784,HA,387,KOA,HNL,2019-06-28,47,N481HA,-8,-12,0,0,0,0,0,N,2019,6,28,4,2019-06-28 18:22:00,2019-06-28 19:09:00,2019-06-28 18:14:00,2019-06-28 18:57:00,91197521510.0,82.0,0.0,29.85,10.0,8.0,91182022521.0,81.0,0.0,29.94,10.0,13.0
81037,WN,2051,SJC,HOU,2019-06-04,225,N487WN,10,113,0,0,0,0,0,N,2019,6,4,1,2019-06-04 13:05:00,2019-06-04 18:50:00,2019-06-04 13:15:00,2019-06-04 20:43:00,72494523293.0,84.0,0.0,29.84,10.0,7.0,72244012918.0,75.0,0.02,29.86,10.0,7.0
115855,WN,975,OAK,LGB,2019-06-06,90,N467WN,2,-14,0,0,0,0,0,N,2019,6,6,3,2019-06-06 08:55:00,2019-06-06 10:25:00,2019-06-06 08:57:00,2019-06-06 10:11:00,72493023230.0,60.0,0.0,29.89,10.0,16.0,72297023129.0,71.0,0.0,29.9,8.0,7.0
220264,UA,1274,DEN,LGA,2019-06-10,234,N412UA,-1,10,0,0,0,0,0,N,2019,6,10,0,2019-06-10 13:36:00,2019-06-10 19:30:00,2019-06-10 13:35:00,2019-06-10 19:40:00,72565003017.0,76.0,0.0,24.76,10.0,13.0,72503014732.0,65.0,0.01,29.86,0.25,9.0
475535,WN,1268,DEN,EWR,2019-06-21,235,N8680C,55,37,35,0,0,0,2,N,2019,6,21,4,2019-06-21 10:35:00,2019-06-21 16:30:00,2019-06-21 11:30:00,2019-06-21 17:07:00,72565003017.0,66.0,0.0,24.48,10.0,18.0,72502014734.0,80.0,0.0,29.66,10.0,23.0
198661,AA,5329,GNV,CLT,2019-06-09,95,N517AE,10,14,0,0,0,0,0,N,2019,6,9,6,2019-06-09 19:45:00,2019-06-09 21:20:00,2019-06-09 19:55:00,2019-06-09 21:34:00,74756012816.0,74.0,0.0,29.79,10.0,9.0,72314013881.0,74.0,0.02,29.18,9.0,8.0
588242,AA,5123,GSP,DCA,2019-06-26,95,N510AE,-7,-23,0,0,0,0,0,N,2019,6,26,2,2019-06-26 12:25:00,2019-06-26 14:00:00,2019-06-26 12:18:00,2019-06-26 13:37:00,72312003870.0,84.0,0.0,29.14,10.0,3.0,72405013743.0,88.0,0.0,29.98,10.0,10.0
354849,WN,4192,MSY,STL,2019-06-16,100,N7876A,37,39,9,0,2,0,28,N,2019,6,16,6,2019-06-16 14:20:00,2019-06-16 16:00:00,2019-06-16 14:57:00,2019-06-16 16:39:00,72231012916.0,93.0,0.0,29.93,10.0,10.0,72434013994.0,85.0,0.0,29.04,10.0,6.0
300257,AA,2971,RDM,LAX,2019-06-14,144,N751SK,-10,-13,0,0,0,0,0,N,2019,6,14,4,2019-06-14 06:00:00,2019-06-14 08:24:00,2019-06-14 05:50:00,2019-06-14 08:11:00,72692024230.0,60.0,0.0,26.8,10.0,3.0,72295023174.0,63.0,0.0,29.63,8.0,7.0
607889,UA,4332,CLE,EWR,2019-06-27,99,N13975,-2,-14,0,0,0,0,0,N,2019,6,27,3,2019-06-27 09:15:00,2019-06-27 10:54:00,2019-06-27 09:13:00,2019-06-27 10:40:00,72524014820.0,80.0,0.0,29.34,10.0,3.0,72502014734.0,88.0,0.0,30.09,10.0,7.0
163816,DL,1967,ATL,MSY,2019-06-08,95,N978DL,123,124,41,0,1,0,82,N,2019,6,8,5,2019-06-08 10:25:00,2019-06-08 11:00:00,2019-06-08 12:28:00,2019-06-08 13:04:00,72219013874.0,70.0,0.38,28.77,1.5,11.0,72231012916.0,88.0,0.0,29.73,10.0,5.0
588635,AA,2285,SNA,ORD,2019-06-26,249,N979NN,-6,-16,0,0,0,0,0,N,2019,6,26,2,2019-06-26 08:10:00,2019-06-26 14:19:00,2019-06-26 08:04:00,2019-06-26 14:03:00,72297793184.0,64.0,0.0,29.91,10.0,7.0,72530094846.0,86.0,0.0,29.31,10.0,8.0
351650,AA,2181,AUS,CLT,2019-06-16,168,N715UW,14,-2,0,0,0,0,0,N,2019,6,16,6,2019-06-16 09:50:00,2019-06-16 13:38:00,2019-06-16 10:04:00,2019-06-16 13:36:00,72254013904.0,88.0,0.0,29.37,10.0,16.0,72314013881.0,87.0,0.0,29.21,10.0,8.0
461516,AA,2799,CLT,BWI,2019-06-20,84,N112US,0,0,0,0,0,0,0,A,2019,6,20,3,2019-06-20 22:35:00,2019-06-20 23:59:00,,,72314013881.0,76.0,0.0,29.01,10.0,8.0,72406093721.0,72.0,0.02,29.38,10.0,7.0
67478,AS,48,ADQ,ANC,2019-06-04,50,N584AS,-15,-9,0,0,0,0,0,N,2019,6,4,1,2019-06-04 08:00:00,2019-06-04 08:50:00,2019-06-04 07:45:00,2019-06-04 08:41:00,70350025501.0,51.0,0.0,29.86,10.0,3.0,70272526491.0,58.0,0.0,29.84,10.0,5.0
471417,UA,6276,IAH,DFW,2019-06-21,78,N82314,-1,5,0,0,0,0,0,N,2019,6,21,4,2019-06-21 12:15:00,2019-06-21 13:33:00,2019-06-21 12:14:00,2019-06-21 13:38:00,72243012960.0,93.0,0.0,29.8,10.0,18.0,72259003927.0,94.0,0.0,29.16,10.0,22.0
11006,DL,732,ATL,SAN,2019-06-01,273,N366DX,-1,-11,0,0,0,0,0,N,2019,6,1,5,2019-06-01 15:04:00,2019-06-01 16:37:00,2019-06-01 15:03:00,2019-06-01 16:26:00,72219013874.0,89.0,0.0,28.79,10.0,8.0,72290023188.0,64.0,0.0,29.84,10.0,10.0
608433,AA,1770,BNA,MIA,2019-06-27,150,N800NN,41,14,0,0,0,0,0,N,2019,6,27,3,2019-06-27 07:45:00,2019-06-27 11:15:00,2019-06-27 08:26:00,2019-06-27 11:29:00,72327013897.0,80.0,0.0,29.59,10.0,0.0,72202012839.0,90.0,0.0,30.06,10.0,10.0
556590,UA,3403,EWR,OMA,2019-06-25,192,N657RW,115,115,0,115,0,0,0,N,2019,6,25,1,2019-06-25 06:05:00,2019-06-25 08:17:00,2019-06-25 08:00:00,2019-06-25 10:12:00,72502014734.0,72.0,0.57,29.79,1.5,7.0,72550014942.0,72.0,0.0,28.84,10.0,0.0
38723,WN,2714,BUR,LAS,2019-06-02,65,N948WN,-3,-3,0,0,0,0,0,N,2019,6,2,6,2019-06-02 21:00:00,2019-06-02 22:05:00,2019-06-02 20:57:00,2019-06-02 22:02:00,72288023152.0,60.0,0.0,29.11,10.0,5.0,72386023169.0,82.0,0.0,27.52,10.0,7.0
