,carrier_code,flight_number,origin_airport,destination_airport,date,scheduled_elapsed_time,tail_number,departure_delay,arrival_delay,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircarft_arrival,cancelled_code,year,month,day,weekday,scheduled_departure_dt,scheduled_arrival_dt,actual_departure_dt,actual_arrival_dt,STATION_x,HourlyDryBulbTemperature_x,HourlyPrecipitation_x,HourlyStationPressure_x,HourlyVisibility_x,HourlyWindSpeed_x,STATION_y,HourlyDryBulbTemperature_y,HourlyPrecipitation_y,HourlyStationPressure_y,HourlyVisibility_y,HourlyWindSpeed_y
428621,AA,5121,CAE,CLT,2019-10-20,74,N589NN,5,23,5,0,18,0,0,N,2019,10,20,6,2019-10-20 07:15:00,2019-10-20 08:29:00,2019-10-20 07:20:00,2019-10-20 08:52:00,72310013883.0,58.0,0.01,29.72,3.0,9.0,72314013881.0,59.0,0.0,28.99,10.0,11.0
167596,UA,5681,SFO,MSN,2019-10-08,248,N119SY,-2,5,0,0,0,0,0,N,2019,10,8,1,2019-10-08 08:40:00,2019-10-08 14:48:00,2019-10-08 08:38:00,2019-10-08 14:53:00,72494023234.0,68.0,0.0,29.87,10.0,5.0,72641014837.0,68.0,0.0,29.18,10.0,10.0
605731,WN,5236,SMF,PHX,2019-10-27,110,N8683D,22,7,0,0,0,0,0,N,2019,10,27,6,2019-10-27 21:35:00,2019-10-27 23:25:00,2019-10-27 21:57:00,2019-10-27 23:32:00,72483993225.0,52.0,0.0,29.96,10.0,17.0,72278023183.0,72.0,0.0,28.51,10.0,0.0
364823,B6,215,BOS,DFW,2019-10-17,254,N950JT,-1,-19,0,0,0,0,0,N,2019,10,17,3,2019-10-17 06:40:00,2019-10-17 09:54:00,2019-10-17 06:39:00,2019-10-17 09:35:00,72509014739.0,52.0,0.0,28.91,10.0,31.0,72259003927.0,61.0,0.0,29.43,10.0,8.0
160337,AA,4747,BOS,ROC,2019-10-08,88,N643AE,-7,-4,0,0,0,0,0,N,2019,10,8,1,2019-10-08 08:00:00,2019-10-08 09:28:00,2019-10-08 07:53:00,2019-10-08 09:24:00,72509014739.0,60.0,0.0,30.23,10.0,8.0,72529014768.0,60.0,0.0,29.73,10.0,7.0
428332,B6,862,SJU,BOS,2019-10-20,243,N995JL,61,45,15,0,0,0,30,N,2019,10,20,6,2019-10-20 04:05:00,2019-10-20 08:08:00,2019-10-20 05:06:00,2019-10-20 08:53:00,78526011641.0,79.0,0.0,29.98,10.0,0.0,72509014739.0,48.0,0.0,30.06,10.0,0.0
89046,UA,4265,ORD,LIT,2019-10-04,121,N14180,-3,33,0,0,33,0,0,N,2019,10,4,4,2019-10-04 19:50:00,2019-10-04 21:51:00,2019-10-04 19:47:00,2019-10-04 22:24:00,72530094846.0,53.0,0.0,29.61,10.0,9.0,72340313963.0,70.0,0.0,29.84,9.0,11.0
121728,DL,3762,ATL,FWA,2019-10-06,104,N915EV,-6,-15,0,0,0,0,0,N,2019,10,6,6,2019-10-06 13:54:00,2019-10-06 15:38:00,2019-10-06 13:48:00,2019-10-06 15:23:00,72219013874.0,76.0,0.0,29.08,10.0,9.0,72533014827.0,65.0,0.0,29.22,10.0,6.0
531756,WN,2083,SJC,TUS,2019-10-24,115,N919WN,38,34,3,0,0,0,31,N,2019,10,24,3,2019-10-24 14:20:00,2019-10-24 16:15:00,2019-10-24 14:58:00,2019-10-24 16:49:00,72494523293.0,88.0,0.0,29.94,10.0,5.0,72274023160.0,81.0,0.0,27.34,10.0,14.0
634339,WN,2133,OAK,SAN,2019-10-29,95,N482WN,-2,-13,0,0,0,0,0,N,2019,10,29,1,2019-10-29 09:10:00,2019-10-29 10:45:00,2019-10-29 09:08:00,2019-10-29 10:32:00,72493023230.0,60.0,0.0,29.89,10.0,7.0,72290023188.0,69.0,0.0,29.92,10.0,9.0
533672,UA,1429,IAH,AUS,2019-10-24,61,N822UA,-1,-7,0,0,0,0,0,N,2019,10,24,3,2019-10-24 16:30:00,2019-10-24 17:31:00,2019-10-24 16:29:00,2019-10-24 17:24:00,72243012960.0,78.0,0.0,29.82,10.0,11.0,72254013904.0,81.0,0.08,29.3,10.0,22.0
505751,AA,1555,LAX,LAS,2019-10-23,74,N539UW,-4,-6,0,0,0,0,0,N,2019,10,23,2,2019-10-23 12:55:00,2019-10-23 14:09:00,2019-10-23 12:51:00,2019-10-23 14:03:00,72295023174.0,85.0,0.0,29.5,10.0,9.0,72386023169.0,84.0,0.0,27.69,10.0,7.0
372823,NK,498,RDU,FLL,2019-10-17,125,N648NK,12,8,0,0,0,0,0,N,2019,10,17,3,2019-10-17 13:34:00,2019-10-17 15:39:00,2019-10-17 13:46:00,2019-10-17 15:47:00,72306013722.0,64.0,0.0,29.36,10.0,13.0,74783012849.0,86.0,0.0,29.86,10.0,11.0
430781,AA,4891,BWI,PHL,2019-10-20,53,N601DW,-3,0,0,0,0,0,0,N,2019,10,20,6,2019-10-20 09:21:00,2019-10-20 10:14:00,2019-10-20 09:18:00,2019-10-20 10:14:00,72406093721.0,56.0,0.05,29.81,2.0,7.0,72408013739.0,55.0,0.02,30.0,7.0,5.0
108677,NK,293,PDX,LAS,2019-10-05,131,N913NK,-6,-13,0,0,0,0,0,N,2019,10,5,5,2019-10-05 19:11:00,2019-10-05 21:22:00,2019-10-05 19:05:00,2019-10-05 21:09:00,72698024229.0,59.0,0.0,30.24,10.0,3.0,72386023169.0,72.0,0.0,27.73,10.0,6.0
294593,DL,1334,ATL,RIC,2019-10-14,93,N974DL,-4,-2,0,0,0,0,0,N,2019,10,14,0,2019-10-14 07:35:00,2019-10-14 09:08:00,2019-10-14 07:31:00,2019-10-14 09:06:00,72219013874.0,56.0,0.0,29.02,10.0,8.0,72401013740.0,60.0,0.0,29.89,8.0,7.0
19251,AA,1468,MIA,SAT,2019-10-01,183,N8001N,-7,-34,0,0,0,0,0,N,2019,10,1,1,2019-10-01 19:35:00,2019-10-01 21:38:00,2019-10-01 19:28:00,2019-10-01 21:04:00,72202012839.0,83.0,0.0,29.86,10.0,15.0,72253012921.0,79.0,0.0,29.08,10.0,14.0
78443,AA,4023,LGA,BGR,2019-10-04,84,N835AE,1,30,0,0,29,0,1,N,2019,10,4,4,2019-10-04 12:59:00,2019-10-04 14:23:00,2019-10-04 13:00:00,2019-10-04 14:53:00,72503014732.0,65.0,0.0,30.05,10.0,20.0,72607014606.0,51.0,0.0,29.81,10.0,16.0
544855,UA,4791,TYS,DEN,2019-10-25,200,N18102,-11,-13,0,0,0,0,0,N,2019,10,25,4,2019-10-25 07:20:00,2019-10-25 08:40:00,2019-10-25 07:09:00,2019-10-25 08:27:00,72326013891.0,50.0,0.0,29.21,10.0,3.0,72565003017.0,47.0,0.0,24.83,10.0,13.0
218971,DL,1767,OKC,ATL,2019-10-10,119,N972AT,-8,5,0,0,0,0,0,N,2019,10,10,3,2019-10-10 15:45:00,2019-10-10 18:44:00,2019-10-10 15:37:00,2019-10-10 18:49:00,72353013967.0,62.0,0.0,28.49,10.0,22.0,72219013874.0,75.0,0.0,29.0,10.0,6.0
634065,DL,1687,MSP,SAN,2019-10-29,227,N308DN,0,10,0,0,0,0,0,N,2019,10,29,1,2019-10-29 08:45:00,2019-10-29 10:32:00,2019-10-29 08:45:00,2019-10-29 10:42:00,72658014922.0,32.0,0.0,29.33,10.0,11.0,72290023188.0,69.0,0.0,29.92,10.0,9.0
385983,UA,5924,ORD,XNA,2019-10-18,108,N920SW,-1,6,0,0,0,0,0,N,2019,10,18,4,2019-10-18 06:10:00,2019-10-18 07:58:00,2019-10-18 06:09:00,2019-10-18 08:04:00,72530094846.0,39.0,0.0,29.35,10.0,5.0,72343653922.0,51.0,0.0,28.55,10.0,7.0
533110,AA,4479,BNA,CLT,2019-10-24,100,N131HQ,24,20,2,0,0,0,18,N,2019,10,24,3,2019-10-24 14:29:00,2019-10-24 17:09:00,2019-10-24 14:53:00,2019-10-24 17:29:00,72327013897.0,73.0,0.0,29.53,10.0,9.0,72314013881.0,68.0,0.0,29.42,10.0,6.0
519923,DL,1620,DEN,LAX,2019-10-24,145,N370NW,-3,-10,0,0,0,0,0,N,2019,10,24,3,2019-10-24 06:05:00,2019-10-24 07:30:00,2019-10-24 06:02:00,2019-10-24 07:20:00,72565003017.0,31.0,0.0,24.9,10.0,7.0,72295023174.0,79.0,0.0,29.61,10.0,3.0
111486,DL,850,GRR,MSP,2019-10-06,94,N831DN,-3,-8,0,0,0,0,0,N,2019,10,6,6,2019-10-06 07:00:00,2019-10-06 07:34:00,2019-10-06 06:57:00,2019-10-06 07:26:00,72635094860.0,59.0,0.0,29.1,10.0,16.0,72658014922.0,49.0,0.0,29.04,10.0,11.0
