,carrier_code,flight_number,origin_airport,destination_airport,date,scheduled_elapsed_time,tail_number,departure_delay,arrival_delay,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircarft_arrival,cancelled_code,year,month,day,weekday,scheduled_departure_dt,scheduled_arrival_dt,actual_departure_dt,actual_arrival_dt,STATION_x,HourlyDryBulbTemperature_x,HourlyPrecipitation_x,HourlyStationPressure_x,HourlyVisibility_x,HourlyWindSpeed_x,STATION_y,HourlyDryBulbTemperature_y,HourlyPrecipitation_y,HourlyStationPressure_y,HourlyVisibility_y,HourlyWindSpeed_y
542914,UA,5245,SHV,DEN,2019-05-25,153,N982SW,-4,-16,0,0,0,0,0,N,2019,5,25,5,2019-05-25 07:00:00,2019-05-25 08:33:00,2019-05-25 06:56:00,2019-05-25 08:17:00,72248013957.0,74.0,0.0,29.82,7.0,6.0,72565003017.0,62.0,0.0,24.62,10.0,16.0
113976,DL,1692,ATL,SAN,2019-05-06,275,N594NW,-2,-1,0,0,0,0,0,N,2019,5,6,0,2019-05-06 08:15:00,2019-05-06 09:50:00,2019-05-06 08:13:00,2019-05-06 09:49:00,72219013874.0,62.0,0.0,28.91,10.0,7.0,72290023188.0,65.0,0.0,29.92,10.0,6.0
648245,UA,5667,SBP,SFO,2019-05-30,69,N125SY,-7,-16,0,0,0,0,0,N,2019,5,30,3,2019-05-30 06:50:00,2019-05-30 07:59:00,2019-05-30 06:43:00,2019-05-30 07:43:00,72289793206.0,53.0,0.0,29.71,5.0,6.0,72494023234.0,53.0,0.0,29.93,9.0,11.0
639550,WN,429,BWI,BDL,2019-05-29,75,N233LV,56,56,6,0,0,0,50,N,2019,5,29,2,2019-05-29 17:30:00,2019-05-29 18:45:00,2019-05-29 18:26:00,2019-05-29 19:41:00,72406093721.0,88.0,0.0,29.49,10.0,16.0,72508014740.0,59.0,0.02,29.55,9.0,10.0
110271,AA,3571,SPS,DFW,2019-05-06,53,N857AE,-9,-14,0,0,0,0,0,N,2019,5,6,0,2019-05-06 05:00:00,2019-05-06 05:53:00,2019-05-06 04:51:00,2019-05-06 05:39:00,72351013966.0,63.0,0.0,28.74,10.0,6.0,72259003927.0,70.0,0.0,29.24,10.0,16.0
448832,WN,1219,MKE,DEN,2019-05-21,150,N8698B,-1,2,0,0,0,0,0,N,2019,5,21,1,2019-05-21 05:50:00,2019-05-21 07:20:00,2019-05-21 05:49:00,2019-05-21 07:22:00,72640014839.0,45.0,0.0,29.4,10.0,10.0,72565003017.0,32.0,0.01,24.24,0.5,13.0
300831,AA,5251,CLT,SAV,2019-05-14,61,N597NN,-2,-1,0,0,0,0,0,N,2019,5,14,1,2019-05-14 14:00:00,2019-05-14 15:01:00,2019-05-14 13:58:00,2019-05-14 15:00:00,72314013881.0,70.0,0.0,29.15,10.0,8.0,72207003822.0,78.0,0.0,29.86,10.0,7.0
151333,AA,4431,STL,DCA,2019-05-07,128,N431YX,0,-6,0,0,0,0,0,N,2019,5,7,1,2019-05-07 17:04:00,2019-05-07 20:12:00,2019-05-07 17:04:00,2019-05-07 20:06:00,72434013994.0,78.0,0.0,29.27,10.0,10.0,72405013743.0,71.0,0.0,30.03,10.0,8.0
566573,AA,2590,SNA,ORD,2019-05-26,246,N963NN,-6,-3,0,0,0,0,0,N,2019,5,26,6,2019-05-26 07:45:00,2019-05-26 13:51:00,2019-05-26 07:39:00,2019-05-26 13:48:00,72297793184.0,59.0,0.0,29.87,10.0,9.0,72530094846.0,72.0,0.0,29.33,10.0,0.0
190631,AA,470,PHX,SJC,2019-05-09,110,N778XF,6,13,0,0,0,0,0,N,2019,5,9,3,2019-05-09 13:36:00,2019-05-09 15:26:00,2019-05-09 13:42:00,2019-05-09 15:39:00,72278023183.0,89.0,0.0,28.5,10.0,9.0,72494523293.0,68.0,0.0,29.68,10.0,7.0
189802,DL,6230,AZO,DTW,2019-05-09,56,N659CA,-5,-12,0,0,0,0,0,N,2019,5,9,3,2019-05-09 13:53:00,2019-05-09 14:49:00,2019-05-09 13:48:00,2019-05-09 14:37:00,72635794815.0,75.0,0.0,28.79,10.0,15.0,72537094847.0,73.0,0.0,29.06,10.0,22.0
360686,AA,340,LAX,MIA,2019-05-16,302,N979NN,21,21,21,0,0,0,0,N,2019,5,16,3,2019-05-16 23:48:00,2019-05-17 07:50:00,2019-05-16 00:09:00,2019-05-17 08:11:00,72295023174.0,61.0,0.0,29.62,10.0,5.0,72202012839.0,81.0,0.0,29.99,10.0,9.0
319107,UA,5446,SBA,SFO,2019-05-15,78,N963SW,0,0,0,0,0,0,0,B,2019,5,15,2,2019-05-15 10:22:00,2019-05-15 11:40:00,,,72392523190.0,61.0,0.0,29.95,10.0,6.0,72494023234.0,63.0,0.01,29.8,10.0,17.0
227105,WN,4512,BDL,MDW,2019-05-11,145,N230WN,-2,-3,0,0,0,0,0,N,2019,5,11,5,2019-05-11 06:20:00,2019-05-11 07:45:00,2019-05-11 06:18:00,2019-05-11 07:42:00,72508014740.0,53.0,0.0,29.8,10.0,18.0,72534014819.0,48.0,0.0,29.47,10.0,10.0
231970,WN,4514,BOI,SAN,2019-05-11,125,N8618N,-1,-6,0,0,0,0,0,N,2019,5,11,5,2019-05-11 11:05:00,2019-05-11 12:10:00,2019-05-11 11:04:00,2019-05-11 12:04:00,72681024131.0,71.0,0.0,27.03,10.0,3.0,72290023188.0,67.0,0.0,29.91,10.0,10.0
432060,DL,2188,MSP,IND,2019-05-20,96,N891AT,-6,-14,0,0,0,0,0,N,2019,5,20,0,2019-05-20 09:55:00,2019-05-20 12:31:00,2019-05-20 09:49:00,2019-05-20 12:17:00,72658014922.0,55.0,0.0,29.25,10.0,8.0,72438093819.0,60.0,0.0,29.2,10.0,16.0
70885,AA,5591,BHM,CLT,2019-05-04,99,N552NN,10,9,0,0,0,0,0,N,2019,5,4,5,2019-05-04 06:10:00,2019-05-04 08:49:00,2019-05-04 06:20:00,2019-05-04 08:58:00,72228013876.0,68.0,0.2,29.24,1.25,9.0,72314013881.0,72.0,0.0,29.12,9.0,5.0
284479,AA,2088,LAS,PHL,2019-05-13,295,N539UW,2,10,0,0,0,0,0,N,2019,5,13,0,2019-05-13 11:59:00,2019-05-13 19:54:00,2019-05-13 12:01:00,2019-05-13 20:04:00,72386023169.0,89.0,0.0,27.62,10.0,10.0,72408013739.0,49.0,0.0,29.81,10.0,6.0
181633,AA,6037,SJC,LAX,2019-05-09,98,N215NN,-7,-11,0,0,0,0,0,N,2019,5,9,3,2019-05-09 07:15:00,2019-05-09 08:53:00,2019-05-09 07:08:00,2019-05-09 08:42:00,72494523293.0,58.0,0.0,29.78,10.0,9.0,72295023174.0,62.0,0.0,29.51,8.0,7.0
631896,UA,3818,JAN,ORD,2019-05-29,139,N433AW,-2,9,0,0,0,0,0,N,2019,5,29,2,2019-05-29 10:50:00,2019-05-29 13:09:00,2019-05-29 10:48:00,2019-05-29 13:18:00,72235003940.0,89.0,0.0,29.57,10.0,11.0,72530094846.0,72.0,0.0,29.05,10.0,3.0
468249,AS,640,PDX,PHX,2019-05-21,155,N528AS,-5,-5,0,0,0,0,0,N,2019,5,21,1,2019-05-21 19:25:00,2019-05-21 22:00:00,2019-05-21 19:20:00,2019-05-21 21:55:00,72698024229.0,59.0,0.0,29.7,10.0,6.0,72278023183.0,72.0,0.0,28.45,10.0,11.0
