,carrier_code,flight_number,origin_airport,destination_airport,date,scheduled_elapsed_time,tail_number,departure_delay,arrival_delay,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircarft_arrival,cancelled_code,year,month,day,weekday,scheduled_departure_dt,scheduled_arrival_dt,actual_departure_dt,actual_arrival_dt,STATION_x,HourlyDryBulbTemperature_x,HourlyPrecipitation_x,HourlyStationPressure_x,HourlyVisibility_x,HourlyWindSpeed_x,STATION_y,HourlyDryBulbTemperature_y,HourlyPrecipitation_y,HourlyStationPressure_y,HourlyVisibility_y,HourlyWindSpeed_y
299450,UA,5240,TUS,DEN,2019-09-14,119,N930EV,-9,-15,0,0,0,0,0,N,2019,9,14,5,2019-09-14 16:41:00,2019-09-14 19:40:00,2019-09-14 16:32:00,2019-09-14 19:25:00,72274023160.0,85.0,0.0,27.37,10.0,21.0,72565003017.0,68.0,0.0,24.72,10.0,7.0
45565,DL,5070,ATL,LEX,2019-09-03,71,N901XJ,-4,-9,0,0,0,0,0,N,2019,9,3,1,2019-09-03 09:56:00,2019-09-03 11:07:00,2019-09-03 09:52:00,2019-09-03 10:58:00,72219013874.0,85.0,0.0,28.96,10.0,3.0,72422093820.0,85.0,0.0,29.03,10.0,3.0
452673,DL,5877,SRQ,LGA,2019-09-21,175,N209JQ,-7,-16,0,0,0,0,0,N,2019,9,21,5,2019-09-21 14:30:00,2019-09-21 17:25:00,2019-09-21 14:23:00,2019-09-21 17:09:00,72211512871.0,89.0,0.0,30.0,10.0,14.0,72503014732.0,77.0,0.0,30.12,10.0,6.0
640972,AA,5563,PHL,GSP,2019-09-30,109,N507AE,-4,-12,0,0,0,0,0,N,2019,9,30,0,2019-09-30 08:05:00,2019-09-30 09:54:00,2019-09-30 08:01:00,2019-09-30 09:42:00,72408013739.0,66.0,0.0,30.28,10.0,7.0,72312003870.0,83.0,0.0,29.18,10.0,9.0
185197,UA,563,PHL,ORD,2019-09-09,149,N460UA,-7,-2,0,0,0,0,0,N,2019,9,9,0,2019-09-09 16:36:00,2019-09-09 18:05:00,2019-09-09 16:29:00,2019-09-09 18:03:00,72408013739.0,81.0,0.0,30.17,10.0,6.0,72530094846.0,74.0,0.0,29.36,10.0,8.0
339827,UA,5862,DEN,FAT,2019-09-16,155,N932EV,98,84,84,0,0,0,0,N,2019,9,16,0,2019-09-16 15:40:00,2019-09-16 17:15:00,2019-09-16 17:18:00,2019-09-16 18:39:00,72565003017.0,86.0,0.0,24.51,10.0,11.0,72389093193.0,76.0,0.0,29.56,9.0,22.0
341889,DL,5430,ATL,HPN,2019-09-16,143,N371CA,-5,-11,0,0,0,0,0,N,2019,9,16,0,2019-09-16 16:22:00,2019-09-16 18:45:00,2019-09-16 16:17:00,2019-09-16 18:34:00,72219013874.0,96.0,0.0,28.92,10.0,10.0,72503794745.0,64.0,0.0,29.6,10.0,0.0
331136,AA,3369,AZO,ORD,2019-09-16,62,N827AE,-1,6,0,0,0,0,0,N,2019,9,16,0,2019-09-16 11:02:00,2019-09-16 11:04:00,2019-09-16 11:01:00,2019-09-16 11:10:00,72635794815.0,73.0,0.0,29.19,10.0,6.0,72530094846.0,73.0,0.0,29.42,8.0,9.0
333913,WN,1740,BWI,TPA,2019-09-16,140,N8622A,-3,-12,0,0,0,0,0,N,2019,9,16,0,2019-09-16 10:45:00,2019-09-16 13:05:00,2019-09-16 10:42:00,2019-09-16 12:53:00,72406093721.0,84.0,0.0,29.87,10.0,6.0,72211012842.0,90.0,0.0,29.96,10.0,9.0
593853,UA,841,ORD,PDX,2019-09-27,271,N37462,141,179,0,141,38,0,0,N,2019,9,27,4,2019-09-27 19:45:00,2019-09-27 22:16:00,2019-09-27 22:06:00,2019-09-28 01:15:00,72530094846.0,66.0,0.32,29.02,3.0,7.0,72698024229.0,51.0,0.0,29.73,10.0,0.0
