,carrier_code,flight_number,origin_airport,destination_airport,date,scheduled_elapsed_time,tail_number,departure_delay,arrival_delay,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircarft_arrival,cancelled_code,year,month,day,weekday,scheduled_departure_dt,scheduled_arrival_dt,actual_departure_dt,actual_arrival_dt,STATION_x,HourlyDryBulbTemperature_x,HourlyPrecipitation_x,HourlyStationPressure_x,HourlyVisibility_x,HourlyWindSpeed_x,STATION_y,HourlyDryBulbTemperature_y,HourlyPrecipitation_y,HourlyStationPressure_y,HourlyVisibility_y,HourlyWindSpeed_y
488,AA,4485,RIC,LGA,2019-11-01,82,N431YX,-7,-24,0,0,0,0,0,N,2019,11,1,4,2019-11-01 05:57:00,2019-11-01 07:19:00,2019-11-01 05:50:00,2019-11-01 06:55:00,72401013740.0,44.0,0.0,29.96,10.0,9.0,72503014732.0,44.0,0.0,29.91,10.0,20.0
445831,DL,1848,DTW,LGA,2019-11-21,113,N371DN,-4,-8,0,0,0,0,0,N,2019,11,21,3,2019-11-21 07:00:00,2019-11-21 08:53:00,2019-11-21 06:56:00,2019-11-21 08:45:00,72537094847.0,39.0,0.0,29.37,5.0,8.0,72503014732.0,42.0,0.0,30.18,10.0,5.0
26127,AA,2225,DFW,FAT,2019-11-02,218,N961NN,34,15,15,0,0,0,0,N,2019,11,2,5,2019-11-02 09:11:00,2019-11-02 10:49:00,2019-11-02 09:45:00,2019-11-02 11:04:00,72259003927.0,48.0,0.0,29.79,10.0,8.0,72389093193.0,66.0,0.0,29.8,9.0,0.0
429626,AA,1146,DTW,DFW,2019-11-20,192,N912NN,-11,-36,0,0,0,0,0,N,2019,11,20,2,2019-11-20 11:38:00,2019-11-20 13:50:00,2019-11-20 11:27:00,2019-11-20 13:14:00,72537094847.0,42.0,0.0,29.49,5.0,7.0,72259003927.0,75.0,0.0,29.21,10.0,26.0
358133,AA,1924,CLT,FLL,2019-11-17,134,N576UW,-3,-21,0,0,0,0,0,N,2019,11,17,6,2019-11-17 09:54:00,2019-11-17 12:08:00,2019-11-17 09:51:00,2019-11-17 11:47:00,72314013881.0,48.0,0.0,29.28,10.0,10.0,74783012849.0,61.0,0.0,29.88,10.0,9.0
146769,DL,5912,BOS,ORD,2019-11-07,191,N869RW,-3,23,0,0,23,0,0,N,2019,11,7,3,2019-11-07 17:00:00,2019-11-07 19:11:00,2019-11-07 16:57:00,2019-11-07 19:34:00,72509014739.0,54.0,0.01,29.93,10.0,9.0,72530094846.0,24.0,0.0,29.72,10.0,7.0
559252,AA,4646,PHL,MEM,2019-11-26,180,N118HQ,-10,-11,0,0,0,0,0,N,2019,11,26,1,2019-11-26 08:35:00,2019-11-26 10:35:00,2019-11-26 08:25:00,2019-11-26 10:24:00,72408013739.0,45.0,0.0,29.97,10.0,7.0,72334013893.0,63.0,0.03,29.39,10.0,13.0
581852,DL,2345,SAV,ATL,2019-11-27,71,N912DE,-6,-17,0,0,0,0,0,N,2019,11,27,2,2019-11-27 09:00:00,2019-11-27 10:11:00,2019-11-27 08:54:00,2019-11-27 09:54:00,72207003822.0,60.0,0.0,30.08,10.0,6.0,72219013874.0,66.0,0.01,28.95,10.0,8.0
302958,WN,2429,OKC,STL,2019-11-14,80,N783SW,22,28,11,0,6,0,11,N,2019,11,14,3,2019-11-14 17:40:00,2019-11-14 19:00:00,2019-11-14 18:02:00,2019-11-14 19:28:00,72353013967.0,45.0,0.0,28.96,10.0,6.0,72434013994.0,35.0,0.0,29.59,10.0,5.0
234095,UA,3641,MFE,IAH,2019-11-11,79,N635RW,103,118,0,0,15,0,103,N,2019,11,11,0,2019-11-11 17:26:00,2019-11-11 18:45:00,2019-11-11 19:09:00,2019-11-11 20:43:00,72250612959.0,84.0,0.0,29.83,10.0,10.0,72243012960.0,49.0,0.0,30.06,10.0,23.0
