,carrier_code,flight_number,origin_airport,destination_airport,date,scheduled_elapsed_time,tail_number,departure_delay,arrival_delay,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircarft_arrival,cancelled_code,year,month,day,weekday,scheduled_departure_dt,scheduled_arrival_dt,actual_departure_dt,actual_arrival_dt,STATION_x,HourlyDryBulbTemperature_x,HourlyPrecipitation_x,HourlyStationPressure_x,HourlyVisibility_x,HourlyWindSpeed_x,STATION_y,HourlyDryBulbTemperature_y,HourlyPrecipitation_y,HourlyStationPressure_y,HourlyVisibility_y,HourlyWindSpeed_y
629500,WN,5404,PIT,DEN,2019-07-28,200,N8582Z,-1,-22,0,0,0,0,0,N,2019,7,28,6,2019-07-28 11:50:00,2019-07-28 13:10:00,2019-07-28 11:49:00,2019-07-28 12:48:00,72520094823.0,83.0,0.0,28.87,10.0,9.0,72565003017.0,88.0,0.0,24.72,10.0,10.0
453491,UA,418,ORD,PWM,2019-07-20,142,N77258,124,117,117,0,0,0,0,N,2019,7,20,5,2019-07-20 18:45:00,2019-07-20 22:07:00,2019-07-20 20:49:00,2019-07-21 00:04:00,72530094846.0,77.0,0.0,29.14,10.0,8.0,72606014764.0,77.0,0.0,29.62,10.0,6.0
236936,UA,662,SFO,MSP,2019-07-11,224,N77538,-4,-12,0,0,0,0,0,N,2019,7,11,3,2019-07-11 12:59:00,2019-07-11 18:43:00,2019-07-11 12:55:00,2019-07-11 18:31:00,72494023234.0,70.0,0.0,30.04,10.0,22.0,72658014922.0,80.0,0.0,29.08,10.0,8.0
86627,UA,2198,ORD,IAD,2019-07-05,102,N481UA,-6,-8,0,0,0,0,0,N,2019,7,5,4,2019-07-05 07:00:00,2019-07-05 09:42:00,2019-07-05 06:54:00,2019-07-05 09:34:00,72530094846.0,78.0,0.0,29.29,10.0,7.0,72403093738.0,83.0,0.0,29.77,7.0,6.0
52758,AA,812,CLT,LAX,2019-07-03,304,N194UW,-2,-8,0,0,0,0,0,N,2019,7,3,2,2019-07-03 11:40:00,2019-07-03 13:44:00,2019-07-03 11:38:00,2019-07-03 13:36:00,72314013881.0,92.0,0.0,29.17,10.0,0.0,72295023174.0,73.0,0.0,29.53,10.0,14.0
327262,AA,4785,BGR,PHL,2019-07-15,114,N639AE,-9,-26,0,0,0,0,0,N,2019,7,15,0,2019-07-15 14:50:00,2019-07-15 16:44:00,2019-07-15 14:41:00,2019-07-15 16:18:00,72607014606.0,80.0,0.0,29.68,10.0,17.0,72408013739.0,86.0,0.0,29.99,10.0,9.0
42645,DL,2906,BOS,MCO,2019-07-02,191,N332NW,-2,-20,0,0,0,0,0,N,2019,7,2,1,2019-07-02 19:59:00,2019-07-02 23:10:00,2019-07-02 19:57:00,2019-07-02 22:50:00,72509014739.0,82.0,0.0,29.68,10.0,9.0,72205012815.0,84.0,0.0,29.87,10.0,5.0
674333,AA,4835,PHL,SWF,2019-07-30,82,N617AE,3,2,0,0,0,0,0,N,2019,7,30,1,2019-07-30 09:10:00,2019-07-30 10:32:00,2019-07-30 09:13:00,2019-07-30 10:34:00,72408013739.0,85.0,0.0,29.99,10.0,8.0,72503814714.0,90.0,,29.48,10.0,11.0
223573,AS,1133,SAN,SEA,2019-07-11,180,N836VA,0,-3,0,0,0,0,0,N,2019,7,11,3,2019-07-11 06:15:00,2019-07-11 09:15:00,2019-07-11 06:15:00,2019-07-11 09:12:00,72290023188.0,66.0,0.0,29.99,7.0,3.0,72793024233.0,66.0,0.0,29.69,10.0,8.0
299018,AA,1623,PHL,MIA,2019-07-14,182,N392AN,-9,-19,0,0,0,0,0,N,2019,7,14,6,2019-07-14 10:49:00,2019-07-14 13:51:00,2019-07-14 10:40:00,2019-07-14 13:32:00,72408013739.0,87.0,0.0,29.94,10.0,6.0,72202012839.0,93.0,0.0,30.06,10.0,8.0
